employment_length,probability,id,employer_title,home_ownership,annual_income
10.0,0.24697873,1069043,dollar tree stores,mortgage,44000.0
5.0,0.27789447,1060981,"riverside county, california",rent,75000.0
1.0,0.3508407,1069071,insight card services,rent,33600.0
3.0,0.26049486,1069070,genocea biosciences,rent,50000.0
10.0,0.1661512,1068893,model metrics,own,150000.0
10.0,0.20579976,1068882,boro of butler,rent,90000.0
10.0,0.2786378,1069039,tx army national guard,mortgage,48000.0
1.0,0.19838697,1068416,cross country travel corp,rent,75000.0
10.0,0.23220041,1068997,segovia's transportion inc.,mortgage,52000.0
10.0,0.28307962,1048390,avmed health plans,mortgage,65000.0
10.0,0.16792296,1068994,tutor per ini corporation,mortgage,150000.0
1.0,0.21015863,1068475,sap,rent,68000.0
1.0,0.30437976,1068989,koi restaurant,rent,42000.0
4.0,0.2818317,1068967,casestack,rent,53000.0
1.0,0.19578911,1068744,bellflower convalecent hospital,rent,35000.0
1.0,0.1613496,1045509,kaiser permanente,rent,60000.0
1.0,0.20291193,1063958,community colleges of spokane,rent,28000.0
1.0,0.28257185,1041756,barnes distribution,mortgage,42000.0
9.0,0.15216063,1068694,phoenix newspapers inc.,rent,88365.0
1.0,0.2036392,1068792,lithia motors,rent,72000.0
10.0,0.21562213,1068558,insight global,rent,62000.0
3.0,0.2566419,1068322,winghouse corporation,mortgage,43680.0
6.0,0.19382095,1065674,claret wine bar,rent,120000.0
10.0,0.25388885,1068547,o'connor,rent,66000.0
1.0,0.21183506,1068545,harris,own,39120.0
1.0,0.23144722,1068575,ossi,rent,85000.0
1.0,0.227595,1049528,ncs technologies,mortgage,47800.0
3.0,0.19701865,1068542,travelers insurance,mortgage,45000.0
10.0,0.3868546,1068350,j&j steel inc,mortgage,83000.0
1.0,0.18158925,1067874,anadarko petroleum corporation,rent,81000.0
2.0,0.37075958,1068509,sunrise senior living,rent,25000.0
7.0,0.39365062,1034693,menards,rent,65000.0
8.0,0.17248861,1068508,a touch of italy,own,28800.0
2.0,0.17559761,1066641,new york living solutions,rent,135000.0
10.0,0.2090295,1068315,natex architects,mortgage,50000.0
10.0,0.32899252,1068309,texas health & human services commission,rent,38000.0
10.0,0.23805478,1068326,city of newport beach,rent,45000.0
5.0,0.18438523,1066767,becker construction corporation,rent,80000.0
1.0,0.20020124,1068484,edward jones,rent,50000.0
10.0,0.19390765,1068292,monroe dispat,mortgage,30000.0
9.0,0.19867197,1068273,,mortgage,110000.0
10.0,0.25615737,1068274,east baton rouge parish school system,own,45608.0
10.0,0.20771001,1068440,charlotte regional medical center,mortgage,120000.0
10.0,0.20545495,1046456,opw fuel management systems,mortgage,35000.0
10.0,0.25680906,1068012,gucci group/ yves saint laurent,rent,75000.0
9.0,0.20790978,1055725,wal-mart,mortgage,35000.0
2.0,0.39262366,1061814,renal support network,rent,24000.0
10.0,0.27125892,1068232,"avon protection systems, inc.",mortgage,126000.0
1.0,0.27794856,1068405,ram dme,rent,43000.0
3.0,0.19490047,1068395,samuraisushi restaurant,rent,50000.0
10.0,0.33614528,1068202,midnight,mortgage,67000.0
4.0,0.3327858,1068006,"pacific wood laminates, inc.",rent,45000.0
3.0,0.41848847,1068075,albert einstein college of medicine,rent,31200.0
5.0,0.19637805,1065642,mwh americas,rent,66000.0
10.0,0.23738337,1068179,american airlines,rent,52000.0
10.0,0.30031216,1068158,united states air force,rent,56964.0
10.0,0.19230664,1068180,united states air force,rent,49500.0
2.0,0.20222391,1065673,king soopers (kroger co),rent,70000.0
6.0,0.24423523,1068159,city of los angeles,mortgage,125000.0
3.0,0.40821016,1068165,malvern school of medford,rent,33000.0
1.0,0.3005525,1059689,best buy,rent,30000.0
8.0,0.4064565,1066215,lafidale inc,mortgage,90000.0
2.0,0.38729513,1063270,dennis alleman dmd,mortgage,23000.0
2.0,0.3216523,1067931,military,rent,24000.0
10.0,0.24463642,1067922,carroll county public schools,rent,62000.0
4.0,0.30960354,1067919,dental tlc,rent,44000.0
1.0,0.23966219,1068106,infosys technologies ltd.,rent,90000.0
10.0,0.23668204,1068111,aetna,rent,41000.0
2.0,0.36120218,1067655,barnes and noble,mortgage,56000.0
3.0,0.1496724,1060662,wv state tax department,mortgage,26500.0
10.0,0.23476085,1061304,norfolk southern,rent,54000.0
2.0,0.2892094,1068095,search for common ground,rent,53000.0
10.0,0.2068529,1067182,kazork,rent,52800.0
1.0,0.25866768,822464,ashbrook village senior community,mortgage,38000.0
2.0,0.18605821,1063526,bank of the west,rent,38000.0
1.0,0.17625599,1068091,luxottica retail,rent,42000.0
10.0,0.21013243,1068090,energy northwest,rent,55000.0
10.0,0.23748587,1068082,state of georgia/united states air force,mortgage,60000.0
10.0,0.20795396,1068078,medin corporation,mortgage,87000.0
5.0,0.19068256,1057633,best buy,own,25000.0
1.0,0.16876727,1046204,the mcgraw-hill companies,rent,82000.0
8.0,0.22506492,1067794,karl strauss brewing company,rent,60000.0
10.0,0.22201517,1067816,buckhead family dentistry,mortgage,80000.0
2.0,0.22945729,1068018,vons,rent,25000.0
5.0,0.19763039,1052996,"marks & sokolov, llc",rent,48000.0
10.0,0.23875281,1067818,o'reilly auto parts,mortgage,85000.0
10.0,0.21616012,1064842,rite aid,rent,57000.0
2.0,0.4776566,1067109,cvs/pharmacy,rent,25000.0
2.0,0.24574654,1067971,pnc ficial services,rent,34000.0
10.0,0.21930891,1057518,city of hillsboro,rent,40000.0
10.0,0.24770719,1067473,us army,rent,42656.4
4.0,0.20612541,1062177,senior dental insurance solutions,mortgage,44400.0
2.0,0.33142254,1067447,upper valley food co-op,own,30000.0
6.0,0.14397426,1059412,marshall realty,mortgage,70000.0
3.0,0.33506203,1062608,studio 94 corp,rent,28000.0
2.0,0.35565534,1067664,st john hospital,mortgage,50000.0
10.0,0.2802283,1067441,american airlines,mortgage,94800.0
10.0,0.17333432,1067654,indian river county clerk of court,own,40000.0
10.0,0.23159866,1067644,,own,12000.0
5.0,0.13915232,1062288,feld entertainment,mortgage,36000.0
2.0,0.22727917,1067434,mcgraw- hill,rent,225000.0
2.0,0.20134053,1067419,samsung information systems america,rent,45900.0
4.0,0.15011904,1067601,bartell drugs,rent,27200.0
1.0,0.17625599,1067579,sensus healthcare,rent,42000.0
4.0,0.2162286,1067563,walgreens,rent,135000.0
10.0,0.2271584,1067364,edgestone real estate,rent,65000.0
10.0,0.16185768,1067152,us bank,rent,24000.0
6.0,0.35479155,1062471,independent imaging,rent,70000.0
10.0,0.25413516,1066842,express llc,rent,65000.0
10.0,0.2275774,1067126,calix,rent,60000.0
3.0,0.33999047,1067326,metlife,rent,30000.0
10.0,0.24718228,1066789,cajon valley union school district,rent,43000.0
10.0,0.19653575,1067324,schneider national inc,rent,42000.0
10.0,0.26380157,1067102,santa clara county public defender,rent,75000.0
10.0,0.32580876,1046969,department of health,mortgage,129000.0
2.0,0.3370481,1067084,baylor college of medicine,mortgage,168000.0
9.0,0.2603938,1067090,,mortgage,74000.0
1.0,0.28301686,1060875,edit,mortgage,52000.0
10.0,0.22517973,1067265,marsh,rent,58500.0
1.0,0.17819339,1067287,aavmc,rent,71000.0
10.0,0.24311072,1067066,state of washington,rent,75000.0
10.0,0.21978238,1067283,pure flo water company,rent,60000.0
2.0,0.19718839,1067266,city of new york,rent,87996.0
5.0,0.24417236,1066635,cisco systems inc.,mortgage,140000.0
10.0,0.29066128,1067026,us air force,rent,66000.0
8.0,0.47345406,1067038,corning inc.,mortgage,70000.0
10.0,0.31994155,1067030,ups,mortgage,100000.0
5.0,0.22478831,1065350,gilbert express,rent,50000.0
4.0,0.1840082,1067028,talbert house,rent,35000.0
6.0,0.33313197,1061877,,rent,75000.0
5.0,0.21327305,1067018,kohls corporation,rent,71000.0
10.0,0.22273879,1067223,"hospice peachtree, llc",mortgage,48000.0
2.0,0.23969021,1067004,merks bar and grill,rent,36000.0
10.0,0.23341087,1031265,itt aerospace controls,mortgage,86000.0
3.0,0.2539382,1066835,butte community college,rent,30000.0
10.0,0.21932045,1067181,deloitte tax llp,rent,60000.0
3.0,0.2554054,1067179,bmw,rent,34000.0
10.0,0.33637437,1067172,eel river brewing co.,mortgage,44200.0
10.0,0.22097237,1066712,johns hopkins hospital,mortgage,82000.0
2.0,0.19525065,1066706,united states dhs,mortgage,83000.0
2.0,0.22057615,1066836,the university of texas,rent,41000.0
1.0,0.3574577,1066826,usd 362,mortgage,36000.0
10.0,0.17197524,1063280,jpmorgan chase bank,rent,35000.0
1.0,0.32620484,1057447,windsor marketing group,rent,30000.0
6.0,0.18709514,1040867,new view gifts & accessories,rent,40000.0
10.0,0.20644373,1065232,sigma relocation group,mortgage,105000.0
4.0,0.19324276,1052492,best buy,mortgage,45000.0
10.0,0.35678068,1066664,new jersey institute of technology (njit,mortgage,109000.0
2.0,0.23262918,1066659,jp morgan chase bank,rent,50000.0
2.0,0.19646424,1066763,pricewaterhousecoopers,rent,83000.0
10.0,0.2781305,1066798,san diego unified school district,mortgage,52500.0
1.0,0.38597536,1066639,rms/iqor,own,25000.0
10.0,0.2308728,1066633,big m inc,mortgage,60000.0
10.0,0.15965043,1060644,"mall spe, llc",mortgage,120000.0
10.0,0.28010926,1066766,"st. mary's health care system, inc.",rent,68000.0
10.0,0.3348289,1066613,pepsico,mortgage,53000.0
10.0,0.25985155,1065648,wa state vdshs,mortgage,69600.0
10.0,0.25937572,1066768,vibrato grill jazz etc...,rent,65000.0
10.0,0.3737615,1066617,walt disney co.,mortgage,144000.0
2.0,0.16343687,1062015,ajel technologies inc,rent,75000.0
10.0,0.15421389,1066598,bioscreen clinical servicesa,mortgage,29000.0
2.0,0.19254386,1066503,nor cal beverage,rent,70000.0
4.0,0.16675489,1066530,penske logistics,rent,45000.0
10.0,0.30219442,1066520,king county sheriffs office,mortgage,55200.0
10.0,0.24206278,1065929,impax laboratory,mortgage,61440.0
10.0,0.34341472,1066582,maroone chevrolet of west dade,mortgage,56000.0
1.0,0.16794951,1066348,ch robinson,rent,47000.0
10.0,0.25256377,1061430,oxyheal health group,rent,55000.0
10.0,0.21183419,1061519,social security administration - odar,rent,71000.0
5.0,0.19498579,1066344,corbett industries,rent,50000.0
8.0,0.18566586,1066480,hillstone restaurant group,rent,135000.0
10.0,0.32848457,1066471,city of alpharetta,mortgage,63000.0
10.0,0.22794928,1064063,executive plaza,mortgage,44000.0
5.0,0.200592,1066318,,mortgage,50000.0
5.0,0.19346026,1066453,southern methodist university,rent,80000.0
4.0,0.27608526,1063090,virginiamasonmedicalcenter,rent,45000.0
1.0,0.19110684,1061406,kenover marketing,rent,78000.0
3.0,0.44907862,1066278,citizens utility board of oregon,rent,33000.0
10.0,0.16365099,1066281,philips healthcare,rent,62800.0
3.0,0.22474779,1056150,"cardinal health stafford, texas.",rent,26400.0
10.0,0.38664412,1066434,ibm,mortgage,80000.0
1.0,0.2857935,1048526,xoxo salon,rent,25000.0
1.0,0.23572622,1028566,dfw international airport,mortgage,65000.0
10.0,0.26974618,1066424,sci mahanoy,own,59000.0
3.0,0.24448511,1066212,cyberpower,rent,33000.0
10.0,0.33548656,1066232,first national bank of st. louis,rent,39000.0
1.0,0.22292674,1056219,wolverton inc.,rent,42000.0
10.0,0.19566396,1066199,sparrow health,mortgage,38004.0
3.0,0.21391188,1060851,multisensory learning academy,own,31000.0
10.0,0.30332363,972383,new buck corporation,mortgage,50700.0
10.0,0.24412341,1066191,national park service,own,75000.0
3.0,0.38221323,1066173,gem city motors,mortgage,30000.0
6.0,0.22656006,1066379,quad graphics,rent,40000.0
10.0,0.38625813,1066364,st. joseph hospital,mortgage,50000.0
10.0,0.25706512,1066140,musco lighting,mortgage,80000.0
4.0,0.18628532,1066171,chesapeak process service inc,rent,40000.0
2.0,0.17188871,1066162,"time escrow, inc.",rent,80000.0
3.0,0.18055105,1040154,,rent,75000.0
8.0,0.40881053,1066155,"navistar, inc.",mortgage,85000.0
1.0,0.42425722,1065382,dr.boers,rent,28800.0
10.0,0.30905423,1063447,,rent,35000.0
10.0,0.22534126,1065932,oceanside college of beauty,rent,61200.0
1.0,0.16622789,1065936,medical delivery services,rent,40000.0
1.0,0.44646972,1066112,guardsmark,rent,25920.0
9.0,0.32977027,1066084,"allen flavors, inc.",mortgage,54000.0
10.0,0.36483577,1066081,,rent,18000.0
5.0,0.18503088,1065896,twitch llc,rent,85000.0
4.0,0.18740027,1066065,accenture,rent,78000.0
10.0,0.29330865,1066071,interim health care,own,45600.0
6.0,0.19251752,1062094,bbva compass,rent,70000.0
4.0,0.2789302,1061154,dream town,rent,70000.0
10.0,0.28229412,1066061,new england window and door,mortgage,80000.0
5.0,0.22739808,1065863,pepsi beverage company,rent,50000.0
10.0,0.19675955,1065862,durango & silverton narrow gauge rr,mortgage,35000.0
10.0,0.29025546,1065854,fofg,mortgage,65000.0
10.0,0.2324936,1065145,latique handbag,mortgage,84000.0
10.0,0.395874,1062260,tubecityims,mortgage,75000.0
6.0,0.14423458,1065842,fairfax county government,rent,35000.0
6.0,0.3447264,1066018,,rent,40000.0
1.0,0.2773953,1049352,"the holmes organisation, inc.",mortgage,100000.0
6.0,0.20738654,1066016,kearny ferderal savings bank,own,40000.0
10.0,0.24607638,1065997,the reis group,rent,52000.0
3.0,0.21368583,1061891,pwc,rent,92500.0
9.0,0.255276,1065752,city & county of san francisco,rent,61000.0
10.0,0.30249724,1063126,neil nakai inc.,rent,36000.0
10.0,0.21244846,1065738,pilot fregith services,mortgage,68000.0
1.0,0.2254559,1061467,louis vuitton,rent,80000.0
10.0,0.20964494,1065721,the university club,rent,43000.0
5.0,0.17708454,1065717,draft fcb,rent,150000.0
10.0,0.25507823,1065026,st. rose san martin,rent,50000.0
6.0,0.19026138,1057001,,rent,70000.0
6.0,0.20723473,1065513,old republic home protection,own,40000.0
10.0,0.18097742,1065698,university primary care,own,35000.0
4.0,0.1566219,1065681,raytheon,rent,80000.0
10.0,0.24762158,1061788,federal,own,59000.0
1.0,0.1738983,1065484,crown plaza manhattan,rent,40000.0
5.0,0.29744726,1061681,prospect transportation inc.,rent,85000.0
10.0,0.23948868,1065661,simple fice technology corp.,rent,55000.0
9.0,0.21675058,1065663,city of capitola,rent,110000.0
10.0,0.19457945,1065480,prairie du chien memorial hospital,rent,100000.0
10.0,0.19684067,1065658,choate investment advisors,rent,62000.0
1.0,0.17318328,1065447,southeastern technical college,rent,45000.0
5.0,0.23592201,1065470,ah interiors inc.,rent,110000.0
3.0,0.27282754,1065467,responsive learning technologies,rent,60000.0
10.0,0.3225454,1065649,kings county district attorney's office,rent,61500.0
3.0,0.2924896,1065430,americare,rent,33000.0
3.0,0.28001276,1059462,fisher scientific,rent,61000.0
10.0,0.36660245,1064102,level 3 communications,own,78216.0
1.0,0.23149031,1062399,nexcom,mortgage,62000.0
10.0,0.19892256,1065572,nutrasweet,rent,50964.0
1.0,0.14891589,1065567,qualtek manufacturing,rent,43680.0
10.0,0.22934261,1065342,micro/sys,mortgage,56000.0
5.0,0.22142282,1065355,newark public schools,rent,50700.0
10.0,0.3008894,1058717,,mortgage,60000.0
3.0,0.2241767,1065348,the newell group,rent,30000.0
5.0,0.1628003,890389,virginia tech,rent,50000.0
10.0,0.26216927,1065142,aspens water and sewer district,rent,75000.0
5.0,0.19464919,1065320,institute for family health,rent,90000.0
10.0,0.2564322,1065304,shaws,rent,55000.0
10.0,0.34330645,1065180,state of mass. dds,mortgage,50000.0
3.0,0.21613887,1065298,patriot general,rent,84000.0
6.0,0.1766366,1064904,jacobs engineering,own,155000.0
9.0,0.20728302,1064696,"agora, inc.",mortgage,62000.0
2.0,0.4215818,977277,the woodlands ficial group,mortgage,175000.0
2.0,0.24455744,1065260,above the title ent.,rent,30000.0
7.0,0.23279232,1059734,chester mental health center,rent,50000.0
2.0,0.19806622,1065110,fed govt-environmental protection agency,mortgage,208000.0
2.0,0.17535053,1047987,vw of orchard park,mortgage,35004.0
10.0,0.24059466,1065104,industrial design and contruccion,own,85000.0
1.0,0.167101,1065103,chevron station,rent,32000.0
10.0,0.26618344,1065254,tech data corp,mortgage,116400.0
9.0,0.25263914,1064873,city of mattoon,mortgage,40000.0
2.0,0.18076535,1065244,jim kearney- state farm,rent,34000.0
10.0,0.27666733,1064969,walgreen co,mortgage,73000.0
10.0,0.27805415,1059620,firestone complete auto care,rent,57200.0
1.0,0.186116,1032978,black and veatch,mortgage,114000.0
10.0,0.31922513,1065234,giorgio  armani,mortgage,90000.0
10.0,0.246836,1064958,us army,mortgage,54000.0
5.0,0.15928437,1065196,grey goose restaurant,rent,35000.0
10.0,0.16059822,1065199,cardinal logistics,rent,56000.0
4.0,0.1597254,1065195,regal cinemas,rent,35000.0
10.0,0.21130385,1065020,areres bais yaakov,mortgage,40000.0
10.0,0.24705523,1065016,us army corps of engineers,own,59000.0
10.0,0.16170682,1064924,united states air force,rent,48000.0
8.0,0.22039196,1064940,placer county,own,85000.0
10.0,0.30454335,1064932,total document solutions inc.,mortgage,70000.0
4.0,0.15801506,1062248,grand wailea,rent,35000.0
10.0,0.28908566,1064985,state of nc its,mortgage,91000.0
9.0,0.32505968,1064926,m.s.c.z. inc earthwize recycling,mortgage,30000.0
4.0,0.23768513,1064908,st catherine of siena,rent,45000.0
1.0,0.17154871,1059118,medivantix technologies,rent,55000.0
10.0,0.1997214,1064897,at and t,rent,53004.0
10.0,0.23281641,1064754,san francisco public library,rent,60000.0
8.0,0.18380834,1060082,chaffey joint union high school district,own,82000.0
10.0,0.27294442,1064736,postal service,rent,53000.0
10.0,0.20203924,1064727,wells fargo,mortgage,35360.0
10.0,0.41608372,1042668,u.s. postal service,rent,54000.0
10.0,0.20525019,1064862,emeroson animal hospital,rent,65000.0
10.0,0.23618782,1064711,ams design inc.,rent,65000.0
6.0,0.21859159,1032875,morongo band of mission indians,own,28800.0
1.0,0.1772449,1064830,ohio attorney general,rent,42000.0
3.0,0.20055388,1064681,mish mash inc,rent,36000.0
1.0,0.17564788,1064383,simms metal management,rent,40000.0
10.0,0.19136205,1064675,halperin lyman llc,rent,50000.0
10.0,0.19112118,1064666,thomas wirig doll,rent,52000.0
10.0,0.29799443,1064639,mcdean,mortgage,85000.0
3.0,0.40907308,1064636,sterling savings bank,rent,32000.0
10.0,0.25763583,1064805,carrollton school,own,75000.0
9.0,0.27689636,1064635,swiss re holding corporation of america,rent,80000.0
10.0,0.22609223,1064793,arizona department of economic security,mortgage,40246.0
3.0,0.26535392,1056865,pkm panel systems corp.,own,30000.0
1.0,0.2804012,1064783,pbm&m,rent,36000.0
10.0,0.19907758,1064623,ecr inc,rent,60000.0
3.0,0.39353073,1064792,techmd,rent,31200.0
8.0,0.15981448,1062701,sysco eastern maryland,rent,90000.0
1.0,0.17327087,1064781,columbia daily tribune,rent,40000.0
3.0,0.196716,1064774,dupont,rent,90000.0
10.0,0.1606586,1053765,united states air force,mortgage,105000.0
1.0,0.2333551,1064608,fidelity investments,rent,30084.0
10.0,0.22660172,1064589,teltow contracting,mortgage,36000.0
4.0,0.26431355,1064558,gladding & michel inc.,rent,67000.0
10.0,0.31482646,1064585,"cdc builders, inc.",mortgage,63000.0
2.0,0.21653141,1064548,straight line logistics,rent,276000.0
3.0,0.16498433,1064462,smartsips llc,rent,26400.0
10.0,0.34939826,1064582,,rent,24000.0
10.0,0.20897682,1064579,santa rosa county school board,mortgage,68400.0
1.0,0.47381386,1046511,multiband,rent,29120.0
1.0,0.38824448,1029191,multiband,rent,29120.0
10.0,0.31900555,1064527,clark county school district,mortgage,89122.0
10.0,0.32921794,1064567,lifecell,mortgage,54000.0
5.0,0.19768776,1064500,arkansas highway & transportation,mortgage,30000.0
4.0,0.16335365,1063899,rudy's barbershop,mortgage,30000.0
10.0,0.32942104,1057598,st. raphael's hospital,rent,50000.0
1.0,0.22906326,1052002,bethel public schools,mortgage,92000.0
10.0,0.50448334,1064323,u.s coast guard,mortgage,100500.0
1.0,0.16547652,1064317,hopland shokawah casino,rent,40000.0
10.0,0.27086508,1064471,central florida testing laboratories,mortgage,47000.0
3.0,0.19665557,1060374,dei services corp a kratos co,mortgage,68000.0
8.0,0.31490925,1064452,department of defense,mortgage,95000.0
1.0,0.17645578,1064453,jpmorgan chase,rent,39600.0
3.0,0.40859717,1064284,the home depot,own,30000.0
3.0,0.28510356,1063081,duro bag,rent,30000.0
2.0,0.28396702,1064251,willowood care center,rent,17000.0
3.0,0.17754805,1064407,reading site,rent,42000.0
7.0,0.39229098,1035800,macy's,rent,75000.0
5.0,0.25234762,1063678,david dussault plumbing&heating,rent,42000.0
3.0,0.2810697,1059751,finch paper,mortgage,27000.0
10.0,0.34556872,1064386,lockheed martin,mortgage,130000.0
5.0,0.22202955,1055800,seattle cancer care alliance,mortgage,46000.0
10.0,0.3257478,1064221,wwts,mortgage,80000.0
4.0,0.28363383,1064210,qualcomm,mortgage,45000.0
10.0,0.20753585,1064209,citco fund services,rent,72500.0
10.0,0.33259502,1064366,,rent,18408.0
3.0,0.23711905,1064216,mineral wells isd,rent,30000.0
10.0,0.15802644,1064150,costco pharmacy,rent,50000.0
10.0,0.2212921,1056864,jp morgan chase,rent,75000.0
10.0,0.24034245,1064146,m and t bank,mortgage,65000.0
10.0,0.31993723,1064183,northstar fire protection,mortgage,65000.0
10.0,0.1910798,1064185,borgata hotel and casino,mortgage,120000.0
10.0,0.1865676,1064126,paradise locker meats,mortgage,42500.0
1.0,0.24491222,1029473,travelers insurance,mortgage,75000.0
8.0,0.28501794,1057239,"skanska usa civil west, inc",rent,195000.0
10.0,0.21640001,1064128,department of veterans affairs,rent,54990.0
1.0,0.24523194,1063949,di-matrix,rent,40000.0
10.0,0.24199206,1064166,providence health network,mortgage,137000.0
10.0,0.23531827,1064133,us postal service,rent,60000.0
3.0,0.41350588,1064094,miguel rodriguez agency,rent,30120.0
10.0,0.2795136,1063505,,rent,46000.0
8.0,0.28493157,1063528,merrill lynch,mortgage,135000.0
3.0,0.299061,1063912,,mortgage,31500.0
10.0,0.23992574,1064082,united airlines,rent,65000.0
10.0,0.22890171,1063892,"fortress analytics, inc.",mortgage,78000.0
10.0,0.21989954,1064061,tampa bay rays baseball,mortgage,60000.0
10.0,0.1422806,1063876,associated fresh market,rent,48000.0
1.0,0.3084939,1042841,small wonders big ideas family,rent,25000.0
10.0,0.22618204,1063864,"park west landscape, inc.",mortgage,82000.0
10.0,0.39159295,1064051,at&t,mortgage,82000.0
10.0,0.25931248,1063847,georgia pacific of  muskogee,mortgage,42000.0
3.0,0.3168016,1062833,salter labs,rent,27600.0
5.0,0.21354824,1062032,"herdman, summers, and george, llp",mortgage,38000.0
4.0,0.21723248,1063843,national bank of california,rent,35000.0
10.0,0.3192383,1063828,millennium biltmore hotel,own,33000.0
10.0,0.39549363,1064006,walgreens,mortgage,52800.0
10.0,0.4185382,1063729,walmart,mortgage,40900.0
10.0,0.33544877,1062625,"l. robert kimball & assoc,inc.",rent,73882.0
10.0,0.17027971,1062070,california pizza kitchen,mortgage,36000.0
10.0,0.31610978,1063964,california department of corrections,mortgage,130000.0
10.0,0.4020965,1063804,bmw manufacturing,mortgage,57200.0
5.0,0.31311148,1063751,navfac/naval station newport,rent,51871.0
2.0,0.3419649,1063982,north coast ag systems,own,15000.0
9.0,0.28829458,1063972,u.s. department of veteran affairs,mortgage,70197.0
10.0,0.1953179,1063785,lorain county common pleas court,rent,47000.0
9.0,0.29168588,1063788,physicians surgery center of tempe,rent,43000.0
10.0,0.33558923,1063485,gentiva health services,mortgage,120000.0
10.0,0.38164285,1063781,adp,mortgage,86004.0
10.0,0.39134583,1057766,ericsson,mortgage,75000.0
1.0,0.16215707,1063778,bentall kennedy,rent,110000.0
3.0,0.27897567,1062818,cardinal logistics,mortgage,80000.0
10.0,0.22158174,1042037,nasoft usa,rent,44000.0
